customer_key,tenure,price_protection_flag,camp_data_rem_days,basic_flag,data_flag,residential_telephony_flag,age_1,estimated_hh_income_in_000,total_1mo_data_usage,total_6mo_data_usage,easy_pay_flag,hbo_flag,cinemax_flag,showtime_flag,starz_flag,sub_retention_30day,sub_informational_30day,sub_directmail_60day,sub_email_60day,added_psu_last_12mo,dropped_psu_last_12mo,uptier_video_last_12mo,downtier_video_last_12mo,dropped_video_last_12mo,added_video_last_12mo,total_calls_offered_60days,retention_calls_60days,sales_calls_60days,acct_services_calls_60days,collections_calls_60days,tech_support_calls_60days,total_calls_offered_90days,home_max_speed,competitor,psu_combo
106688733,42,0,0,0,1,0,39,70,920.08,3288.92,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1000,ATT,D
20862805,200,1,109,1,1,1,70,116,12.69,75.74,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,V+D+P
20742963,200,0,0,1,0,0,93,37,0,0,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V
109947850,48,0,421,0,1,0,31,49,1171.46,6335.47,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,75,ATT,D
114539446,1,0,700,0,1,0,49,204,102.02,102.02,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,50,ATT,D
111396772,17,0,218,0,1,0,27,12,117.08,1356.24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
108846069,70,0,608,1,1,1,48,58,294.1,1416.87,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1000,ATT,V+D+P
20768679,200,0,0,1,1,1,70,87,164.68,1053.07,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,V+D+P
104319807,54,0,0,1,0,0,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,V
103250868,30,0,189,0,1,0,33,18,137.06,1320.95,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,ATT,D
64397360,108,0,0,0,1,0,65,168,1792.53,10622.94,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
112934441,10,0,427,0,1,0,36,71,149.01,2615.03,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,ATT,D
